"to_station_id","to_station_name","no_of_trips"
383,"Paulina St & Flournoy St",5409
384,"Halsted St & 51st St",30
385,"Princeton Ave & Garfield Blvd",459
386,"Halsted St & 56th St",68
388,"Halsted St & 63rd St",152
390,"Wentworth Ave & 63rd St",112
391,"Halsted St & 69th St",76
392,"Perry Ave & 69th St",117
393,"Calumet Ave & 71st St",36
394,"Clark St & 9th St (AMLI)",4137
395,"Jeffery Blvd & 76th St",121
396,"Yates Blvd & 75th St",123
398,"Rainbow Beach",147
399,"South Shore Dr & 74th St",307
400,"Cottage Grove Ave & 71st St",41
401,"Shields Ave & 28th Pl",1011
402,"Shields Ave & 31st St",1989
403,"Wentworth Ave & 33rd St",1658
405,"Wentworth Ave & 35th St",1632
406,"Lake Park Ave & 35th St",2515
407,"State St & Pershing Rd",212
408,"Union Ave & Root St",359
409,"Shields Ave & 43rd St",61
410,"Prairie Ave & 43rd St",683
411,"Halsted St & 47th Pl",254
412,"Princeton Ave & 47th St",244
413,"Woodlawn Ave & Lake Park Ave",1262
414,"Canal St & Taylor St",7866
415,"Calumet Ave & 51st St",679
416,"Dorchester Ave & 49th St",845
417,"Cornell Ave & Hyde Park Blvd",5665
418,"Ellis Ave & 53rd St",4297
419,"Lake Park Ave & 53rd St",4228
420,"Ellis Ave & 55th St",8629
421,"MLK Jr Dr & 56th St",101
421,"MLK Jr Dr & 56th St (*)",70
422,"DuSable Museum",534
423,"University Ave & 57th St",11797
424,"Museum of Science and Industry",3520
425,"Harper Ave & 59th St",3083
426,"Ellis Ave & 60th St",7155
427,"Cottage Grove Ave & 63rd St",447
428,"Dorchester Ave & 63rd St",500
429,"Cottage Grove Ave & 67th St",141
430,"MLK Jr Dr & 63rd St",132
431,"Eberhart Ave & 61st St",192
432,"Clark St & Lunt Ave",3282
433,"Kedzie Ave & Harrison St",190
434,"Ogden Ave & Roosevelt Rd",1572
435,"Kedzie Ave & Roosevelt Rd",245
436,"Fairfield Ave & Roosevelt Rd",369
437,"Washtenaw Ave & Ogden Ave",747
437,"Washtenaw Ave & Ogden Ave (*)",442
438,"Central Park Ave & Ogden Ave",214
439,"Kedzie Ave & 21st St",381
440,"Central Park Ave & 24th St",89
441,"Kedzie Ave & 24th St",106
442,"California Ave & 23rd Pl",898
443,"Millard Ave & 26th St",230
444,"Albany Ave & 26th St",223
445,"California Ave & 26th St",144
446,"Western Ave & 28th St",251
447,"Glenwood Ave & Morse Ave",3135
448,"Warren Park East",889
449,"Clark St & Columbia Ave",1397
450,"Warren Park West",838
451,"Sheridan Rd & Loyola Ave",4058
452,"Western Ave & Granville Ave",846
453,"Clark St & Schreiber Ave",1458
454,"Broadway & Granville Ave",4664
455,"Maplewood Ave & Peterson Ave",410
456,"2112 W Peterson Ave",614
457,"Clark St & Elmdale Ave",2503
458,"Broadway & Thorndale Ave",4883
459,"Lakefront Trail & Bryn Mawr Ave",9949
460,"Clark St & Bryn Mawr Ave",4495
461,"Broadway & Ridge Ave",4550
462,"Winchester (Ravenswood) Ave & Balmoral Ave",2009
463,"Clark St & Berwyn Ave",7609
464,"Damen Ave & Foster Ave",3639
465,"Marine Dr & Ainslie St",5303
466,"Ridge Blvd & Touhy Ave",828
467,"Western Ave & Lunt Ave",1316
468,"Budlong Woods Library",554
469,"St. Louis Ave & Balmoral Ave",724
470,"Kedzie Ave & Foster Ave",971
471,"Francisco Ave & Foster Ave",1516
472,"Lincoln Ave & Winona St",1703
474,"Christiana Ave & Lawrence Ave",1383
475,"Washtenaw Ave & Lawrence Ave",1859
476,"Kedzie Ave & Leland Ave",1356
477,"Manor Ave & Leland Ave",1259
478,"Rockwell St & Eastwood Ave",2078
479,"Drake Ave & Montrose Ave",1146
480,"Albany Ave & Montrose Ave",1157
481,"California Ave & Montrose Ave",1941
482,"Campbell Ave & Montrose Ave",2587
483,"Avondale Ave & Irving Park Rd",1668
484,"Monticello Ave & Irving Park Rd",1055
485,"Sawyer Ave & Irving Park Rd",1050
486,"Oakley Ave & Irving Park Rd",2029
487,"California Ave & Byron St",1233
488,"Pulaski Rd & Eddy St (Temp)",684
489,"Drake Ave & Addison St",1450
490,"Troy St & Elston Ave",1967
491,"Talman Ave & Addison St",2656
492,"Leavitt St & Addison St",1780
493,"Western Ave & Roscoe St",2680
494,"Kedzie Ave & Bryn Mawr Ave",695
495,"Keystone Ave & Montrose Ave",642
496,"Avers Ave & Belmont Ave",1231
497,"Kimball Ave & Belmont Ave",1558
498,"California Ave & Fletcher St",2316
499,"Kosciuszko Park",1961
500,"Central Park Ave & Elbridge Ave",1445
501,"Richmond St & Diversey Ave",2371
502,"California Ave & Altgeld St",2639
503,"Drake Ave & Fullerton Ave",2554
504,"Campbell Ave & Fullerton Ave",2720
505,"Winchester Ave & Elston Ave",3066
506,"Spaulding Ave & Armitage Ave",3655
507,"Humboldt Blvd & Armitage Ave",4000
508,"Central Park Ave & North Ave",1100
509,"Troy St & North Ave",1512
510,"Spaulding Ave & Division St",925
511,"Albany Ave & Bloomingdale Ave",3794
514,"Ridge Blvd & Howard St",491
515,"Paulina St & Howard St",2647
517,"Clark St & Jarvis Ave",660
518,"Conservatory Dr & Lake St",808
519,"Wolcott Ave & Fargo Ave",241
520,"Greenview Ave & Jarvis Ave",1723
522,"Bosworth Ave & Howard St",535
523,"Eastlake Ter & Rogers Ave",1940
524,"Austin Blvd & Chicago Ave",191
525,"Glenwood Ave & Touhy Ave",1014
526,"Oakley Ave & Touhy Ave",450
527,"Western Ave & Howard St",706
528,"Pulaski Rd & Lake St",116
529,"Cicero Ave & Lake St",97
530,"Laramie Ave & Kinzie St",71
531,"Central Ave & Lake St",113
532,"Austin Blvd & Lake St",437
533,"Central Park Blvd & 5th Ave",105
534,"Karlov Ave & Madison St",152
535,"Pulaski Rd & Congress Pkwy",138
536,"Kostner Ave & Lake St",17
537,"Kenton Ave & Madison St",37
538,"Cicero Ave & Flournoy St",23
539,"Cicero Ave & Quincy St",61
540,"Laramie Ave & Madison St",125
541,"Central Ave & Harrison St",88
542,"Central Ave & Madison St",125
543,"Laramie Ave & Gladys Ave",53
544,"Austin Blvd & Madison St",135
545,"Kostner Ave & Adams St",119
546,"Damen Ave & Pershing Rd",178
547,"Ashland Ave & Pershing Rd",414
548,"Morgan St & Pershing Rd",115
549,"Marshfield Ave & 44th St",104
550,"Central Ave & Chicago Ave",186
551,"Hoyne Ave & 47th St",286
552,"Ashland Ave & McDowell Ave",583
553,"Elizabeth St & 47th St",102
554,"Damen Ave & 51st St",64
555,"Ashland Ave & 50th St",119
556,"Throop St & 52nd St",41
557,"Seeley Ave & Garfield Blvd",25
558,"Ashland Ave & Garfield Blvd",107
559,"Racine Ave & Garfield Blvd",280
560,"Marshfield Ave & 59th St",36
561,"Damen Ave & 59th St",40
562,"Racine Ave & 61st St",8
563,"Ashland Ave & 63rd St",99
564,"Racine Ave & 65th St",16
565,"Ashland Ave & 66th St",50
566,"Ashland Ave & 69th St",68
567,"May St & 69th St",26
568,"Vincennes Ave & 75th St",24
569,"Woodlawn Ave & 75th St",41
570,"Evans Ave & 75th St",84
571,"Vernon Ave & 75th St",158
572,"State St & 76th St",39
573,"State St & 79th St",191
574,"Vernon Ave & 79th St",55
575,"Cottage Grove Ave & 78th St",54
576,"Greenwood Ave & 79th St",129
577,"Stony Island Ave & South Chicago Ave",29
578,"Bennett Ave & 79th St",51
579,"Phillips Ave & 79th St",61
580,"Exchange Ave & 79th St",58
581,"Commercial Ave & 83rd St",70
582,"Phillips Ave & 83rd St",82
583,"Stony Island Ave & 82nd St",60
584,"Ellis Ave & 83rd St",56
585,"Cottage Grove Ave & 83rd St",101
586,"MLK Jr Dr & 83rd St",168
587,"Wabash Ave & 83rd St",31
588,"South Chicago Ave & 83rd St",34
589,"Milwaukee Ave & Cuyler Ave",546
590,"Kilbourn Ave & Irving Park Rd",569
591,"Kilbourn Ave & Milwaukee Ave",727
592,"Knox Ave & Montrose Ave",582
593,"Halsted St & 59th St",30
594,"Western Blvd & 48th Pl",194
595,"Wabash Ave & 87th St",128
596,"Benson Ave & Church St",5230
597,"Chicago Ave & Washington St",3027
598,"Elmwood Ave & Austin St",938
599,"Valli Produce - Evanston Plaza",602
600,"Dodge Ave & Church St",873
601,"Central St Metra",1579
602,"Central St & Girard Ave",992
603,"Chicago Ave & Sheridan Rd",2027
604,"Sheridan Rd & Noyes St (NU)",3028
605,"University Library (NU)",2465
619,"Keystone Ave & Fullerton Ave",883
620,"Orleans St & Chestnut St (NEXT Apts)",7885
621,"Aberdeen St & Randolph St",10473
622,"California Ave & Cortez St",4248
623,"Michigan Ave & 8th St",13542
624,"Dearborn St & Van Buren St",3854
624,"Dearborn St & Van Buren St (*)",2518
625,"Chicago Ave & Dempster St",1872
626,"Delano Ct & Roosevelt Rd",5871
627,"LaSalle Dr & Huron St",6078
627,"LaSalle Dr & Huron St (*)",3365
628,"Walsh Park",3075
630,"Kildare Ave & Montrose Ave",410
631,"Malcolm X College",1366
632,"Clark St & Newport St",9018
635,"Fairbanks St & Superior St",3974
635,"Fairbanks St & Superior St (*)",2969
636,"Orleans St & Hubbard St",4865
636,"Orleans St & Hubbard St (*)",3681
637,"Wood St & Chicago Ave (*)",5444
638,"Clinton St & Jackson Blvd",11834
638,"Clinton St & Jackson Blvd (*)",9570
639,"Lakefront Trail & Wilson Ave",6023
640,"Bernard St & Elston Ave",656
641,"Central Park Ave & Bloomingdale Ave",2154
642,"Latrobe Ave & Chicago Ave",103
643,"Smith Park (*)",1178
644,"Western Ave & Fillmore St (*)",2754
645,"Archer (Damen) Ave & 37th St",434
645,"Archer (Damen) Ave & 37th St (*)",183
646,"State St & 54th St",78
647,"Elizabeth St & 59th St",12
648,"Carpenter St & 63rd St",22
649,"Stewart Ave & 63rd St (*)",49
650,"Eggleston Ave & 69th St (*)",46
651,"Michigan Ave & 71st St",16
652,"Rhodes Ave & 71st St",21
653,"Cornell Dr & Hayes Dr",219
654,"Racine Ave & Washington Blvd (*)",4317
655,"Hoyne Ave & Balmoral Ave",1619
656,"Damen Ave & Walnut (Lake) St (*)",2093
657,"Wood St & Augusta Blvd",5074
658,"Leavitt St & Division St (*)",2671
659,"Leavitt St & Chicago Ave",3712
660,"Sheridan Rd & Columbia Ave",1891
661,"Evanston Civic Center",461
662,"Dodge Ave & Mulford St",406
663,"Lincolnwood Dr & Central St",896
664,"Leavitt St & Belmont Ave (*)",1748
665,"South Chicago Ave & Elliot Ave",10
666,"Cherry Ave & Blackhawk St",582
669,"LBS - BBB La Magie",1
671,"HUBBARD ST BIKE CHECKING (LBS-WH-TEST)",157
672,"Franklin St & Illinois St",3813
673,"Lincoln Park Conservatory",3489
