old_name,new_id
Lincolnwood Dr & Central St,663
Leavitt St & Belmont Ave,664
Cherry Ave & Blackhawk St,666
Base - 2132 W Hubbard Warehouse,671
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671
hubbard_test_lws,671
Franklin St & Illinois St,672
Lincoln Park Conservatory,673
Stewart Ave & 83rd St,677
Halsted St & 73rd St,678
Ashland Ave & 74th St,679
Halsted St & 78th St,681
Eberhart Ave & 91st St,682
Ashland Ave & 78th St,683
Prospect Sq & 91st St,684
Summit Ave & 86th St,685
East End Ave & 87th St,686
Loomis Blvd & 84th St,687
Elizabeth St & 92nd St,689
State St & 95th St,690
Eggleston Ave & 92nd St,691
Marquette Ave & 89th St,692
Baltimore Ave & 87th St,693
Houston Ave & 92nd St,694
Dauphin Ave & 103rd St,695
Indiana Ave & 103rd St,696
Oglesby Ave & 100th St,697
Cottage Grove Ave & 111th Pl,698
Vernon Ave & 107th St,699
Halsted St & 96th St,700
Constance Ave & 95th St,701
Greenwood Ave & 91st St,702
Greenwood Ave & 97th St,703
Avenue O & 134th St,704
Stony Island Ave & 90th St,705
Dauphin Ave & 87th St,706
Torrence Ave & 106th St,707
Clyde Ave & 87th St,708
Michigan Ave & 114th St,709
Burnham Greenway & 105th St,710
Halsted St & 111th St,711
Wentworth Ave & 104th St,712
Major Taylor Trail & 115th St,713
State St & 123rd St,714
Major Taylor Trail & 124th St,715
Eberhart Ave & 131st St,716
Big Marsh Park,717
Ewing Ave & Burnham Greenway,718
Avenue O & 118th St,719
Torrence Ave & 126th Pl,720
Walden Pkwy & 100th St,721
Commercial Ave & 130th St,722
Hale Ave & 107th St,723
Homewood Ave & 115th St,724
Halsted St & 104th St,725
Vincennes Ave & 104th St,726
Ada St & 113th St,727
Western Ave & 111th St,728
Lawndale Ave & 111th St,730
Bradley Park,731
Hegewisch Metra Station,732
Commercial Ave & 100th St,734
Western Ave & 104th St,735
Kedzie Ave & 110th St,736
Chicago State University,737
Calumet Park,738
Altgeld Gardens,739
Loomis St & 89th St,740
Loomis St & 89th St,740
Yates Blvd & 93rd St,741
Doty Ave & 111th St,742
Olive Harvey College,748
State St & Chicago Ave,753
Lakefront Trail & Bryn Mawr Ave,760
S Aberdeen St & W 106th St,20126
S Wentworth Ave & W 111th St,20128
Woodlawn & 103rd - Olive Harvey Vaccination Site,20133
Maryland Ave & 104th St,20134
Kedzie Ave & 104th St,20201
W 103rd St & S Avers Ave,20202
S Michigan Ave & E 118th St,20209
S Michigan Ave & E 118th St,20209
Avenue L & 114th St,20220
Indiana Ave & 133rd St,20240
N Green St & W Lake St,20246
W Washington Blvd & N Peoria St,20247
N Carpenter St & W Lake St,20251
W Oakdale Ave & N Broadway,20252
W Oakdale Ave & N Broadway,20252
N Paulina St & Lincoln Ave,20253
W Armitage Ave & N Sheffield Ave,20254
W Armitage Ave & N Sheffield Ave,20254
N Southport Ave & W Newport Ave,20257
